Rooms,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Longtitude,YearSold,Type_h,Type_ht,Type_t,Type_u,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria
2.0,815000.0,1.2,2.0,1.0,0.0,0.0,75.8,144.9499,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1220000.0,1.2,3.0,1.0,1.0,0.0,143.6,144.9679,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,700000.0,1.2,3.0,1.0,0.0,199.0,120.2,144.9496,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1875000.0,1.3,3.0,1.0,0.0,118.0,177.0,144.98804,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,2850000.0,1.3,3.0,2.0,2.0,470.6,144.4,144.98566,2017,True,False,False,False,False,False,True,False,False,False,False,False
4.0,4550000.0,1.3,4.0,3.0,2.0,531.6,243.8,144.98885,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,4525000.0,1.5,2.0,2.0,1.0,220.0,279.0,144.9879,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,3520000.0,1.5,2.0,2.0,3.0,364.0,158.4,144.9861,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,1475000.0,1.5,2.0,1.0,1.0,179.0,92.6,144.9879,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1450000.0,1.5,3.0,1.2,1.6,567.6,92.0,145.02252800000002,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1560000.0,1.5,3.0,1.2,1.6,567.6,92.0,145.02252800000002,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,4275000.0,1.5,4.0,2.0,2.0,326.0,200.8,144.9865,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,890000.0,1.6,2.0,1.0,1.0,178.0,70.0,144.9915,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1260000.0,1.6,2.0,1.0,2.0,116.0,92.2,144.984,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1015000.0,1.6,2.0,1.0,0.0,117.0,87.0,144.9861,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1260000.0,1.6,3.0,1.0,0.0,167.0,95.2,144.9866,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,855000.0,1.6,2.0,1.0,0.0,130.0,80.0,144.9882,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1000000.0,1.6,2.0,1.0,2.0,159.0,86.0,144.9887,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,981000.0,1.6,2.0,1.0,0.0,188.0,107.0,144.9923,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1265000.0,1.6,3.0,1.0,1.0,282.0,112.0,144.9883,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1075000.0,1.6,3.0,1.0,0.0,183.0,104.0,144.9875,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1300000.0,1.6,2.0,1.0,1.0,157.0,110.0,144.98,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,677000.0,1.6,2.0,1.0,0.0,67.0,83.2,144.9759,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1000000.0,1.6,2.0,1.0,0.0,128.0,83.8,144.9802,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,800000.0,1.6,2.0,2.0,1.0,64.0,138.0,144.9804,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1481000.0,1.6,3.0,2.0,1.0,138.0,135.0,144.9806,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,1780000.0,1.6,4.0,1.0,1.0,186.0,285.0,144.9806,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,4011000.0,1.6,4.0,3.0,2.0,286.0,275.0,144.9755,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1440000.0,1.6,3.0,1.0,0.0,95.0,69.2,144.9825,2016,True,False,False,False,False,False,True,False,False,False,False,False
1.0,947500.0,1.6,1.0,1.0,0.0,87.0,66.0,144.9821,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,850000.0,1.6,2.0,1.0,0.8,286.0,88.6,144.98269,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,2200000.0,1.6,3.0,2.0,1.0,187.0,139.8,144.9806,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1460000.0,1.6,2.0,1.0,0.0,0.0,105.0,144.9814,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1252000.0,1.6,3.0,2.0,2.0,0.0,137.0,144.975,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,1950000.0,1.6,4.0,1.0,0.0,177.0,152.0,144.9759,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1250000.0,1.6,3.0,1.0,1.0,113.0,105.0,144.9821,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1600000.0,1.6,3.0,2.0,1.0,261.0,139.8,144.9806,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,3310000.0,1.6,4.0,4.0,2.0,337.0,291.0,144.9739,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,1620000.0,1.6,3.0,2.0,1.0,132.0,165.0,144.9768,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1122000.0,1.6,2.0,1.0,0.0,106.0,101.0,144.9781,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,2150000.0,1.6,4.0,2.0,2.2,109.0,158.8,144.97167,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1760000.0,1.6,3.0,2.0,2.0,151.0,158.2,144.97406,2017,True,False,False,False,False,False,True,False,False,False,False,False
4.0,5460000.0,1.6,4.0,2.0,2.0,505.4,165.4,144.99310400000002,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,840000.0,1.6,2.0,1.0,0.4,29.0,88.4,144.96737,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1000000.0,1.6,3.0,1.0,0.0,96.0,80.0,144.96563,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1400000.0,1.6,3.0,2.0,1.6,104.0,82.0,144.97324,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1760000.0,1.6,3.0,1.0,1.8,9405.0,134.0,144.96653,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,920000.0,1.6,3.0,1.0,0.0,98.0,122.6,144.97269,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1398000.0,1.6,3.0,1.0,1.4,511.0,218.2,144.96735,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,956000.0,1.6,2.0,1.0,0.8,286.0,88.6,144.98269,2017,True,False,False,False,False,False,True,False,False,False,False,False
